ENTREZID	SYMBOL	ENSEMBL	GENENAME
22877	MLXIP	ENSG00000175727	MLX interacting protein
22877	MLXIP	ENSG00000281178	MLX interacting protein
254050	LRRC43	ENSG00000158113	leucine rich repeat containing 43
386653	IL31	ENSG00000204671	interleukin 31
79369	B3GNT4	ENSG00000176383	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4
56616	DIABLO	ENSG00000184047	diablo IAP-binding mitochondrial protein
101593348	LOC101593348	NA	uncharacterized LOC101593348
65082	VPS33A	ENSG00000139719	VPS33A core subunit of CORVET and HOPS complexes
6249	CLIP1	ENSG00000130779	CAP-Gly domain containing linker protein 1
100507066	CLIP1-AS1	NA	CLIP1 antisense RNA 1
55596	ZCCHC8	ENSG00000033030	zinc finger CCHC-type containing 8
65117	RSRC2	ENSG00000111011	arginine and serine rich coiled-coil 2
9735	KNTC1	ENSG00000184445	kinetochore associated 1
338442	HCAR2	ENSG00000182782	hydroxycarboxylic acid receptor 2
8843	HCAR3	ENSG00000255398	hydroxycarboxylic acid receptor 3
27198	HCAR1	ENSG00000196917	hydroxycarboxylic acid receptor 1
8562	DENR	ENSG00000139726	density regulated re-initiation and release factor
84660	CCDC62	ENSG00000130783	coiled-coil domain containing 62
9026	HIP1R	ENSG00000130787	huntingtin interacting protein 1 related
79720	VPS37B	ENSG00000139722	VPS37B subunit of ESCRT-I
23457	ABCB9	ENSG00000150967	ATP binding cassette subfamily B member 9
79676	OGFOD2	ENSG00000111325	2-oxoglutarate and iron dependent oxygenase domain containing 2
51329	ARL6IP4	ENSG00000182196	ADP ribosylation factor like GTPase 6 interacting protein 4
57605	PITPNM2	ENSG00000090975	phosphatidylinositol transfer protein membrane associated 2
100422931	MIR4304	ENSG00000265526	microRNA 4304
100507091	PITPNM2-AS1	ENSG00000251497	PITPNM2 antisense RNA 1
10198	MPHOSPH9	ENSG00000051825	M-phase phosphoprotein 9
91574	MTRFR	ENSG00000130921	mitochondrial translation release factor in rescue
8099	CDK2AP1	ENSG00000111328	cyclin dependent kinase 2 associated protein 1
55206	SBNO1	ENSG00000139697	strawberry notch homolog 1
100293704	NA	NA	NA
102466877	MIR8072	ENSG00000284425	microRNA 8072
387893	KMT5A	ENSG00000183955	lysine methyltransferase 5A
196383	RILPL2	ENSG00000150977	Rab interacting lysosomal protein like 2
11066	SNRNP35	ENSG00000184209	small nuclear ribonucleoprotein U11/U12 subunit 35
353116	RILPL1	ENSG00000188026	Rab interacting lysosomal protein like 1
100500909	MIR3908	ENSG00000266655	microRNA 3908
101927415	TMED2-DT	NA	TMED2 divergent transcript
10959	TMED2	ENSG00000086598	transmembrane p24 trafficking protein 2
57696	DDX55	ENSG00000111364	DEAD-box helicase 55
1967	EIF2B1	ENSG00000111361	eukaryotic translation initiation factor 2B subunit alpha
2967	GTF2H3	ENSG00000111358	general transcription factor IIH subunit 3
79867	TCTN2	ENSG00000168778	tectonic family member 2
23545	ATP6V0A2	ENSG00000185344	ATPase H+ transporting V0 subunit a2
196385	DNAH10	ENSG00000197653	dynein axonemal heavy chain 10
196385	DNAH10	ENSG00000281935	dynein axonemal heavy chain 10
80212	CCDC92	ENSG00000119242	coiled-coil domain containing 92
80212	CCDC92	ENSG00000275035	coiled-coil domain containing 92
144348	ZNF664	ENSG00000179195	zinc finger protein 664
100533183	ZNF664-RFLNA	ENSG00000178882	ZNF664-RFLNA readthrough
144347	RFLNA	ENSG00000178882	refilin A
105370045	NA	NA	NA
9612	NCOR2	ENSG00000196498	nuclear receptor corepressor 2
102466204	MIR6880	ENSG00000275967	microRNA 6880
949	SCARB1	ENSG00000073060	scavenger receptor class B member 1
7316	UBC	ENSG00000150991	ubiquitin C
100847004	MIR5188	ENSG00000265345	microRNA 5188
100189232	TRA-TGC3-2	NA	tRNA-Ala (anticodon TGC) 3-2
100189343	TRD-GTC2-9	NA	tRNA-Asp (anticodon GTC) 2-9
100009606	TRF-GAA1-4	NA	tRNA-Phe (anticodon GAA) 1-4
100189347	TRD-GTC2-10	NA	tRNA-Asp (anticodon GTC) 2-10
100189339	TRA-TGC4-1	NA	tRNA-Ala (anticodon TGC) 4-1
57647	DHX37	ENSG00000150990	DEAH-box helicase 37
140707	BRI3BP	ENSG00000184992	BRI3 binding protein
102659353	THRIL	ENSG00000280634	TNF and HNRNPL related immunoregulatory long non-coding RNA
65985	AACS	ENSG00000081760	acetoacetyl-CoA synthetase
114795	TMEM132B	ENSG00000139364	transmembrane protein 132B
400084	LINC00939	ENSG00000249267	long intergenic non-protein coding RNA 939
101927464	LINC02359	ENSG00000284848	long intergenic non-protein coding RNA 2359
105370059	LINC02350	NA	long intergenic non-protein coding RNA 2350
100128554	LINC02347	ENSG00000214043	long intergenic non-protein coding RNA 2347
100996671	LOC100996671	ENSG00000256732	uncharacterized LOC100996671
387895	LINC00944	NA	long intergenic non-protein coding RNA 944
100507206	LINC00943	ENSG00000189238	long intergenic non-protein coding RNA 943
440117	LINC02372	ENSG00000249873	long intergenic non-protein coding RNA 2372
