NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION		110	0.19824587	0.77439004	0.8799435	0.9569107	1.0	493	tags=25%, list=22%, signal=31%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT		22	0.26561713	0.77346647	0.78052807	0.95684713	1.0	271	tags=18%, list=12%, signal=20%	
GOBP_STEROID_METABOLIC_PROCESS	GOBP_STEROID_METABOLIC_PROCESS		41	0.23459536	0.7693524	0.81430745	0.96160334	1.0	677	tags=41%, list=30%, signal=58%	
GOBP_BONE_DEVELOPMENT	GOBP_BONE_DEVELOPMENT		42	0.2356752	0.7687937	0.78821653	0.96102786	1.0	501	tags=33%, list=22%, signal=42%	
GOBP_CELL_MATURATION	GOBP_CELL_MATURATION		33	0.24983399	0.76433724	0.80032206	0.9662281	1.0	235	tags=15%, list=11%, signal=17%	
GOBP_VASCULATURE_DEVELOPMENT	GOBP_VASCULATURE_DEVELOPMENT		141	0.19420625	0.76316	0.9116095	0.9665749	1.0	327	tags=12%, list=15%, signal=13%	
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS		43	0.23331676	0.7622898	0.8150376	0.96652347	1.0	667	tags=40%, list=30%, signal=55%	
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION		16	0.2890288	0.7614799	0.7694859	0.96617585	1.0	701	tags=44%, list=31%, signal=63%	
GOBP_CELL_CHEMOTAXIS	GOBP_CELL_CHEMOTAXIS		38	0.23871112	0.76138884	0.8111455	0.9648562	1.0	457	tags=21%, list=20%, signal=26%	
GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION	GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION		18	0.28082997	0.7611016	0.75986844	0.96388274	1.0	491	tags=22%, list=22%, signal=28%	
GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION		20	0.2753946	0.75720984	0.76451075	0.9680824	1.0	522	tags=35%, list=23%, signal=45%	
GOBP_MEMORY	GOBP_MEMORY		23	0.25732476	0.7570851	0.7636054	0.9668441	1.0	878	tags=57%, list=39%, signal=92%	
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS		24	0.2654041	0.75682133	0.8096774	0.96580774	1.0	281	tags=25%, list=13%, signal=28%	
GOBP_REGULATION_OF_B_CELL_ACTIVATION	GOBP_REGULATION_OF_B_CELL_ACTIVATION		17	0.28450632	0.7556208	0.7532258	0.9660196	1.0	420	tags=29%, list=19%, signal=36%	
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS		16	0.28484267	0.75546443	0.7736842	0.9648102	1.0	281	tags=31%, list=13%, signal=35%	
GOBP_GRANULOCYTE_CHEMOTAXIS	GOBP_GRANULOCYTE_CHEMOTAXIS		15	0.29516292	0.7546112	0.78224456	0.964477	1.0	381	tags=20%, list=17%, signal=24%	
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS	GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS		19	0.26960042	0.7544955	0.7636684	0.9632342	1.0	457	tags=21%, list=20%, signal=26%	
GOBP_CARDIAC_SEPTUM_DEVELOPMENT	GOBP_CARDIAC_SEPTUM_DEVELOPMENT		27	0.25209138	0.7524381	0.80914825	0.9646527	1.0	716	tags=33%, list=32%, signal=48%	
GOBP_STRIATED_MUSCLE_CONTRACTION	GOBP_STRIATED_MUSCLE_CONTRACTION		33	0.24036504	0.7516072	0.81672025	0.96436244	1.0	701	tags=39%, list=31%, signal=57%	
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS	GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS		34	0.23818177	0.749869	0.81632656	0.9654165	1.0	247	tags=21%, list=11%, signal=23%	
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		238	0.17513023	0.74662405	0.958134	0.9684747	1.0	433	tags=18%, list=19%, signal=20%	
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		214	0.1778078	0.74640036	0.95875	0.9673771	1.0	433	tags=19%, list=19%, signal=21%	
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT		68	0.20875323	0.74474233	0.87463975	0.9682935	1.0	420	tags=19%, list=19%, signal=23%	
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS		154	0.18447253	0.74386686	0.93708163	0.9681351	1.0	311	tags=12%, list=14%, signal=13%	
