ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050803	GO:0050803	regulation of synapse structure or activity	40/1193	329/18860	0.121580547112462	1.92205290741076	4.38432267993317	5.55373556577447e-05	0.00647541934052002	0.00548408065162366	2048/57463/81609/1942/57549/6585/349667/9746/41/90668/4776/3706/57524/146760/57555/23098/8506/10882/10672/5802/7087/79414/57622/57030/11202/388/9762/22839/65078/85358/9901/6405/7474/2049/26999/575/23237/153090/84628/23096	40
GO:0060348	GO:0060348	bone development	30/1193	220/18860	0.136363636363636	2.15575706774366	4.4807745392563	5.82211576300453e-05	0.00664691549609684	0.00562932201734364	9249/64175/2263/4054/3636/5916/59341/1112/8111/79705/55512/8313/6261/7040/1386/4880/6714/55959/875/9215/5600/5364/6474/2261/4487/10370/56975/5447/642658/537	30
GO:0003151	GO:0003151	outflow tract morphogenesis	16/1193	84/18860	0.19047619047619	3.01121622161019	4.80059441456215	6.38367883395782e-05	0.00704982374600958	0.0059705480015667	9249/26508/7042/2263/7481/161882/2535/6261/1386/655/54345/6091/3516/10427/10370/4851	16
GO:0022404	GO:0022404	molting cycle process	18/1193	102/18860	0.176470588235294	2.78980326413885	4.70988456914969	6.56096735486293e-05	0.00704982374600958	0.0059705480015667	7042/2263/11187/60529/3872/4669/4804/1747/147495/80326/7022/3911/54345/7474/3516/6608/4851/1896	18
GO:0022405	GO:0022405	hair cycle process	18/1193	102/18860	0.176470588235294	2.78980326413885	4.70988456914969	6.56096735486293e-05	0.00704982374600958	0.0059705480015667	7042/2263/11187/60529/3872/4669/4804/1747/147495/80326/7022/3911/54345/7474/3516/6608/4851/1896	18
GO:0042481	GO:0042481	regulation of odontogenesis	7/1193	18/18860	0.388888888888889	6.14789978578746	5.67807316437415	6.82430063205771e-05	0.00708918566491917	0.00600388390254104	1435/80320/4804/147495/7040/80326/4487	7
GO:0050767	GO:0050767	regulation of neurogenesis	44/1193	378/18860	0.116402116402116	1.840187690984	4.28791215204175	6.85632920147293e-05	0.00708918566491917	0.00600388390254104	7161/2048/23028/79727/26508/57463/10500/80128/9283/7832/6585/4135/8408/4776/3706/30812/1949/9001/5802/7040/10505/23363/655/26039/65078/7533/23654/85358/2803/5364/6405/7474/6091/2624/6474/23105/4602/9444/6608/6604/5324/4851/5365/55558	44
GO:0061035	GO:0061035	regulation of cartilage development	15/1193	76/18860	0.197368421052632	3.12017470331319	4.81263086917943	7.00656990476869e-05	0.00711037094039489	0.00602182586942011	7042/7483/4054/7481/5916/55512/4094/8313/7040/91461/7474/6474/5447/642658/7046	15
GO:0003177	GO:0003177	pulmonary valve development	8/1193	24/18860	0.333333333333333	5.26962838781783	5.43875511665619	7.38766520615873e-05	0.00719678914293515	0.00609501408590109	26508/7042/64220/4087/4772/6091/3516/4851	8
GO:0050807	GO:0050807	regulation of synapse organization	39/1193	322/18860	0.12111801242236	1.91474074961083	4.30222055454823	7.43744504266558e-05	0.00719678914293515	0.00609501408590109	2048/57463/81609/1942/57549/6585/349667/9746/41/90668/4776/3706/57524/146760/57555/23098/8506/10882/10672/5802/7087/79414/57622/11202/388/9762/22839/65078/85358/9901/6405/7474/2049/26999/575/23237/153090/84628/23096	39
