ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051310	GO:0051310	metaphase chromosome alignment	15/720	104/18860	0.144230769230769	3.77804487179487	5.65969139370532	9.35479897566024e-06	0.000920588584910891	0.000840022765161327	55143/11004/83540/11130/23411/90417/55055/3835/9212/147841/1894/891/54908/55166/54984	15
GO:0007094	GO:0007094	mitotic spindle assembly checkpoint signaling	10/720	48/18860	0.208333333333333	5.45717592592593	6.15984588989938	1.08440254983101e-05	0.000992564873295112	0.000905700008813457	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0071173	GO:0071173	spindle assembly checkpoint signaling	10/720	48/18860	0.208333333333333	5.45717592592593	6.15984588989938	1.08440254983101e-05	0.000992564873295112	0.000905700008813457	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0071174	GO:0071174	mitotic spindle checkpoint signaling	10/720	48/18860	0.208333333333333	5.45717592592593	6.15984588989938	1.08440254983101e-05	0.000992564873295112	0.000905700008813457	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0140013	GO:0140013	meiotic nuclear division	22/720	203/18860	0.108374384236453	2.83880678708265	5.24771388370124	1.09095682879803e-05	0.000992564873295112	0.000905700008813457	2827/991/8438/83540/11130/10635/5139/5888/29893/146956/23397/994/6790/3976/11144/2069/84057/5810/9232/4603/286151/1164	22
GO:0031297	GO:0031297	replication fork processing	11/720	59/18860	0.186440677966102	4.88370998116761	5.95236095749287	1.22176756939736e-05	0.00109099318882112	0.000995514315805255	9156/22891/1663/5888/54962/55159/672/146956/5932/10721/6596	11
GO:0010639	GO:0010639	negative regulation of organelle organization	32/720	367/18860	0.0871934604904632	2.2839842567363	4.9487553375124	1.30323476055364e-05	0.00113342265267241	0.00103423054163389	3925/55143/991/829/83540/11130/79991/120/1111/2059/89795/84260/57143/7082/55055/10391/9212/672/147841/9637/699/3976/79598/90102/5062/5810/891/54908/54984/10395/286151/51571	32
GO:0031577	GO:0031577	spindle checkpoint signaling	10/720	49/18860	0.204081632653061	5.34580498866213	6.06833111141318	1.31629341662495e-05	0.00113342265267241	0.00103423054163389	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0051304	GO:0051304	chromosome separation	13/720	83/18860	0.156626506024096	4.10274431057564	5.6438942543986	1.47654507907521e-05	0.00124910532829836	0.00113978918384753	55143/991/83540/11130/55055/9212/147841/23397/699/11065/64151/891/54908	13
GO:0033046	GO:0033046	negative regulation of sister chromatid segregation	10/720	50/18860	0.2	5.23888888888889	5.97928940548375	1.58963796557505e-05	0.00125659578196769	0.00114662410631643	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0033048	GO:0033048	negative regulation of mitotic sister chromatid segregation	10/720	50/18860	0.2	5.23888888888889	5.97928940548375	1.58963796557505e-05	0.00125659578196769	0.00114662410631643	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0045841	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	10/720	50/18860	0.2	5.23888888888889	5.97928940548375	1.58963796557505e-05	0.00125659578196769	0.00114662410631643	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:2000816	GO:2000816	negative regulation of mitotic sister chromatid separation	10/720	50/18860	0.2	5.23888888888889	5.97928940548375	1.58963796557505e-05	0.00125659578196769	0.00114662410631643	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0051988	GO:0051988	regulation of attachment of spindle microtubules to kinetochore	7/720	23/18860	0.304347826086957	7.97222222222222	6.66555332157516	1.64754497107316e-05	0.00128136481459916	0.00116922546334224	55143/23411/90417/55055/9212/1894/891	7
GO:0010965	GO:0010965	regulation of mitotic sister chromatid separation	11/720	61/18860	0.180327868852459	4.7235883424408	5.80318135169281	1.70284830283914e-05	0.00130335468512545	0.00118929087817337	55143/991/83540/11130/55055/9212/147841/699/11065/891/54908	11
GO:0050000	GO:0050000	chromosome localization	16/720	124/18860	0.129032258064516	3.37992831541219	5.29716153661336	2.0115954425835e-05	0.00151561144127151	0.00138297186677616	55143/11004/83540/11130/23411/90417/55055/3835/9212/81565/147841/1894/891/54908/55166/54984	16
GO:0045931	GO:0045931	positive regulation of mitotic cell cycle	17/720	138/18860	0.123188405797101	3.22685185185185	5.23072255549739	2.07037640945505e-05	0.001522417742101	0.00138918251041983	991/163786/51514/6240/7465/595/1111/80174/994/11065/6790/993/891/440/301/25/6990	17
GO:1903046	GO:1903046	meiotic cell cycle process	23/720	227/18860	0.101321585903084	2.65406265296133	4.99494176862675	2.08377376562974e-05	0.001522417742101	0.00138918251041983	2827/991/8438/83540/11130/10635/5139/5888/29893/146956/23397/994/6790/3976/11144/993/2069/84057/5810/9232/4603/286151/1164	23
GO:0033044	GO:0033044	regulation of chromosome organization	24/720	244/18860	0.0983606557377049	2.57650273224044	4.93802623450796	2.26974853759103e-05	0.00159699014220803	0.00145722866563985	55143/991/83540/51377/11130/23411/79991/2237/1663/55055/9212/6605/147841/23397/699/11065/64151/26272/891/54908/54984/4609/10783/1736	24
GO:1902100	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	10/720	52/18860	0.192307692307692	5.03739316239316	5.80815695726208	2.28519949838976e-05	0.00159699014220803	0.00145722866563985	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:1905819	GO:1905819	negative regulation of chromosome separation	10/720	52/18860	0.192307692307692	5.03739316239316	5.80815695726208	2.28519949838976e-05	0.00159699014220803	0.00145722866563985	55143/991/83540/11130/55055/9212/147841/699/891/54908	10
GO:0051306	GO:0051306	mitotic sister chromatid separation	11/720	64/18860	0.171875	4.50217013888889	5.59115389989113	2.72947281393722e-05	0.00188021684411504	0.00171566862590339	55143/991/83540/11130/55055/9212/147841/699/11065/891/54908	11
GO:0007077	GO:0007077	mitotic nuclear membrane disassembly	5/720	11/18860	0.454545454545455	11.9065656565657	7.2085371435263	3.04999195508064e-05	0.00207141707146463	0.00189013585948659	7465/1111/7443/993/10783	5
GO:0045005	GO:0045005	DNA-templated DNA replication maintenance of fidelity	11/720	66/18860	0.166666666666667	4.36574074074074	5.45694973369613	3.67869849751359e-05	0.00246370613264035	0.0022480935262583	9156/22891/1663/5888/54962/55159/672/146956/5932/10721/6596	11
GO:0008608	GO:0008608	attachment of spindle microtubules to kinetochore	10/720	55/18860	0.181818181818182	4.76262626262626	5.56727527310138	3.81055118950524e-05	0.0024830375453776	0.00226573313970582	55143/11004/83540/23411/90417/55055/9212/147841/1894/891	10
GO:0030857	GO:0030857	negative regulation of epithelial cell differentiation	10/720	55/18860	0.181818181818182	4.76262626262626	5.56727527310138	3.81055118950524e-05	0.0024830375453776	0.00226573313970582	595/3845/10253/161742/1829/200734/182/10468/857/2146	10
GO:0038127	GO:0038127	ERBB signaling pathway	17/720	145/18860	0.117241379310345	3.07107279693487	4.9875973652685	3.94487660135937e-05	0.00253629266290065	0.00231432760613083	54206/867/10253/145957/5771/55704/7039/8527/868/2069/374/685/55294/3672/1839/79628/25	17
GO:0040020	GO:0040020	regulation of meiotic nuclear division	8/720	35/18860	0.228571428571429	5.98730158730159	5.8835452522051	4.08787529312454e-05	0.00259364929782191	0.00236666464338789	2827/991/11130/10635/5139/3976/5810/286151	8
