NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	8		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	73		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	38		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	16		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	37		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	24		Rejected!	
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	226	20		
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	145		Rejected!	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	195		Rejected!	
GOBP_ANTIMICROBIAL_PEPTIDE_BIOSYNTHETIC_PROCESS	6		Rejected!	
GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION	11		Rejected!	
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	74		Rejected!	
GOBP_ANTI_MULLERIAN_HORMONE_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	11		Rejected!	
GOBP_AORTA_DEVELOPMENT	71	15		
GOBP_AORTA_MORPHOGENESIS	38		Rejected!	
GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS	6		Rejected!	
GOBP_AORTIC_VALVE_MORPHOGENESIS	39		Rejected!	
GOBP_APICAL_CONSTRICTION	5		Rejected!	
GOBP_APICAL_JUNCTION_ASSEMBLY	66		Rejected!	
GOBP_APICAL_PROTEIN_LOCALIZATION	16		Rejected!	
GOBP_APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GOBP_APOPTOTIC_CELL_CLEARANCE	44		Rejected!	
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION	5		Rejected!	
GOBP_APOPTOTIC_DNA_FRAGMENTATION	19		Rejected!	
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	113	16		
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	5		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	42		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS	7		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	29		Rejected!	
GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL	6		Rejected!	
GOBP_APOPTOTIC_SIGNALING_PATHWAY	643	98		
GOBP_APPENDAGE_DEVELOPMENT	198	29		
GOBP_APPENDAGE_MORPHOGENESIS	156	20		
GOBP_ARACHIDONATE_METABOLIC_PROCESS	61		Rejected!	
GOBP_ARACHIDONATE_METABOLITE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	5		Rejected!	
GOBP_ARACHIDONATE_SECRETION	29		Rejected!	
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION	22		Rejected!	
GOBP_ARGININE_METABOLIC_PROCESS	22		Rejected!	
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	24		Rejected!	
GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS	43		Rejected!	
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	14		Rejected!	
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	47		Rejected!	
GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_ARTERY_DEVELOPMENT	121	23		
GOBP_ARTERY_MORPHOGENESIS	84	16		
GOBP_ARTERY_SMOOTH_MUSCLE_CONTRACTION	10		Rejected!	
GOBP_ARTICULAR_CARTILAGE_DEVELOPMENT	7		Rejected!	
GOBP_ASCENDING_AORTA_DEVELOPMENT	5		Rejected!	
GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	19		Rejected!	
GOBP_ASPARTATE_METABOLIC_PROCESS	8		Rejected!	
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	20		Rejected!	
GOBP_ASSOCIATIVE_LEARNING	99		Rejected!	
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	16		Rejected!	
GOBP_ASTROCYTE_ACTIVATION	26		Rejected!	
GOBP_ASTROCYTE_CELL_MIGRATION	7		Rejected!	
GOBP_ASTROCYTE_DEVELOPMENT	42		Rejected!	
GOBP_ASTROCYTE_DIFFERENTIATION	87	19		
GOBP_ASYMMETRIC_CELL_DIVISION	18		Rejected!	
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION	6		Rejected!	
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	10		Rejected!	
GOBP_ATP_BIOSYNTHETIC_PROCESS	105		Rejected!	
GOBP_ATP_EXPORT	10		Rejected!	
GOBP_ATP_METABOLIC_PROCESS	237	24		
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	101		Rejected!	
GOBP_ATP_TRANSPORT	24		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	11		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_COMMUNICATION	19		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	23		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	7		Rejected!	
GOBP_ATRIAL_SEPTUM_DEVELOPMENT	23		Rejected!	
GOBP_ATRIAL_SEPTUM_MORPHOGENESIS	16		Rejected!	
GOBP_ATRIAL_SEPTUM_PRIMUM_MORPHOGENESIS	5		Rejected!	
GOBP_ATRIOVENTRICULAR_CANAL_DEVELOPMENT	13		Rejected!	
GOBP_ATRIOVENTRICULAR_NODE_DEVELOPMENT	9		Rejected!	
GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	31		Rejected!	
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION	8		Rejected!	
GOBP_ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN	6		Rejected!	
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	26		Rejected!	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	57		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	30		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	24		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	20		Rejected!	
GOBP_AUTOCRINE_SIGNALING	10		Rejected!	
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	45		Rejected!	
GOBP_AUTOPHAGIC_CELL_DEATH	9		Rejected!	
GOBP_AUTOPHAGOSOME_LYSOSOME_FUSION	21		Rejected!	
GOBP_AUTOPHAGOSOME_MATURATION	71		Rejected!	
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING	7		Rejected!	
GOBP_AUTOPHAGOSOME_ORGANIZATION	131	21		
GOBP_AUTOPHAGY_OF_MITOCHONDRION	119		Rejected!	
GOBP_AUTOPHAGY_OF_PEROXISOME	16		Rejected!	
GOBP_AUTOSOME_GENOMIC_IMPRINTING	6		Rejected!	
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	14		Rejected!	
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING	11		Rejected!	
GOBP_AXIAL_MESODERM_DEVELOPMENT	9		Rejected!	
GOBP_AXIS_ELONGATION	30		Rejected!	
GOBP_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS	5		Rejected!	
GOBP_AXIS_SPECIFICATION	97		Rejected!	
GOBP_AXONAL_FASCICULATION	23		Rejected!	
GOBP_AXONAL_TRANSPORT	72		Rejected!	
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION	19		Rejected!	
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY	6		Rejected!	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	41		Rejected!	
GOBP_AXONEME_ASSEMBLY	107		Rejected!	
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION	10		Rejected!	
GOBP_AXON_CHOICE_POINT_RECOGNITION	7		Rejected!	
GOBP_AXON_DEVELOPMENT	539	95		
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	25		Rejected!	
GOBP_AXON_EXTENSION	112	20		
GOBP_AXON_MIDLINE_CHOICE_POINT_RECOGNITION	5		Rejected!	
GOBP_AXO_DENDRITIC_PROTEIN_TRANSPORT	9		Rejected!	
GOBP_AXO_DENDRITIC_TRANSPORT	89		Rejected!	
